sentiment_score,value,company
-0.1,Diversity,Burger King
-1,Execution,Burger King
0.5,Innovation,Burger King
-1.1,Integrity,Burger King
-0.1,Performance,Burger King
-1.2,Respect,Burger King
-0.5,Agility,Burlington Stores
1.4,Collaboration,Burlington Stores
1.7,Customer,Burlington Stores
0,Diversity,Burlington Stores
-0.9,Execution,Burlington Stores
0.7,Innovation,Burlington Stores
-1,Integrity,Burlington Stores
-0.4,Performance,Burlington Stores
-1.1,Respect,Burlington Stores
0.2,Agility,C.H. Robinson
1,Collaboration,C.H. Robinson
0.3,Customer,C.H. Robinson
-0.3,Diversity,C.H. Robinson
0.3,Execution,C.H. Robinson
1.6,Innovation,C.H. Robinson
-1.9,Integrity,C.H. Robinson
0,Performance,C.H. Robinson
-1.2,Respect,C.H. Robinson
-1.3,Agility,CA Technologies
0.4,Collaboration,CA Technologies
1.4,Customer,CA Technologies
1.2,Diversity,CA Technologies
-0.7,Execution,CA Technologies
1,Innovation,CA Technologies
0.1,Integrity,CA Technologies
-1.1,Performance,CA Technologies
-1.1,Respect,CA Technologies
-0.6,Agility,Cablevision Systems
-0.1,Collaboration,Cablevision Systems
0.1,Customer,Cablevision Systems
1,Diversity,Cablevision Systems
-1,Execution,Cablevision Systems
2.2,Innovation,Cablevision Systems
-1.2,Integrity,Cablevision Systems
0.3,Performance,Cablevision Systems
-0.7,Respect,Cablevision Systems
-1.3,Agility,CACI International
0.6,Collaboration,CACI International
0.9,Customer,CACI International
0.3,Diversity,CACI International
0.7,Execution,CACI International
1,Innovation,CACI International
0.6,Integrity,CACI International
-1.6,Performance,CACI International
-1.2,Respect,CACI International
-0.9,Agility,Caesars Entertainment
0.9,Collaboration,Caesars Entertainment
1.6,Customer,Caesars Entertainment
1,Diversity,Caesars Entertainment
-0.7,Execution,Caesars Entertainment
0.5,Innovation,Caesars Entertainment
-1.3,Integrity,Caesars Entertainment
0,Performance,Caesars Entertainment
-1.1,Respect,Caesars Entertainment
-0.8,Agility,Campbell Soup Company
1.4,Collaboration,Campbell Soup Company
1,Customer,Campbell Soup Company
1.6,Diversity,Campbell Soup Company
-0.9,Execution,Campbell Soup Company
-0.5,Innovation,Campbell Soup Company
